Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","Cap_Murata_GRM_0402",130.500000,-59.880000,-90.000000,top
"C2","27pF","Cap_Murata_GRM_0402",130.340000,-65.920000,-90.000000,top
"C3","27pF","Cap_Murata_GRM_0402",137.090000,-64.320000,-90.000000,top
"C4","3.9pF","Cap_Murata_GRM_0402",137.490000,-56.820000,-90.000000,top
"C5","220pF","Cap_Murata_GRM_0402",144.850000,-58.340000,0.000000,top
"C6","220pF","Cap_Murata_GRM_0402",139.530000,-60.920000,90.000000,top
"C7","3.9pF","Cap_Murata_GRM_0402",137.880000,-59.400000,0.000000,top
"C8","8.2pF","Cap_Murata_GRM_0402",142.280000,-59.860000,90.000000,top
"C9","5.6pF","Cap_Murata_GRM_0402",144.390000,-59.760000,90.000000,top
"C10","100nF","Cap_Murata_GRM_0402",129.730000,-58.440000,0.000000,top
"C11","220pF","Cap_Murata_GRM_0402",133.190000,-55.220000,0.000000,top
"C12","220pF","Cap_Murata_GRM_0402",137.840000,-61.530000,0.000000,top
"C13","220pF","Cap_Murata_GRM_0402",135.730000,-53.890000,-90.000000,top
"C14","10nF","Cap_Murata_GRM_0402",136.830000,-53.890000,-90.000000,top
"C15","10nF","Cap_Murata_GRM_0402",134.760000,-61.670000,180.000000,top
"C16","100nF","Cap_Murata_GRM_0402",115.230000,-67.600000,0.000000,top
"C17","10uF","Cap_Murata_GRM_0402",115.230000,-68.800000,0.000000,top
"C18","1uF","Cap_Murata_GRM_0402",114.980000,-64.200000,0.000000,top
"C19","6.8pF","Cap_Murata_GRM_0402",127.950000,-63.540000,90.000000,top
"C20","10uF","Cap_Murata_GRM_0402",126.850000,-63.540000,90.000000,top
"C21","10uF","Cap_Murata_GRM_0402",125.750000,-63.540000,90.000000,top
"C22","4.7uF","Cap_Murata_GRM_0603",119.100000,-64.200000,-90.000000,top
"C23","1uF","Cap_Murata_GRM_0402",107.900000,-75.300000,90.000000,top
"D1","CPDQ5V0-HF","SODFL1006X40N",117.334402,-53.376129,90.000000,top
"D2","CPDQ5V0-HF","SODFL1006X40N",117.330000,-51.480000,-90.000000,top
"D3","CPDQ5V0-HF","SODFL1006X40N",120.320000,-56.860000,180.000000,top
"D4","B5819W-TP","SOD3716X135N",120.860000,-60.000000,-90.000000,top
"IC1","ESP32-C3-WROOM-02-N4","ESP32C3WROOM02N4",105.830000,-58.090000,90.000000,top
"IC2","TLV62568DBVR","TLV62568DBVR",121.950000,-64.510000,180.000000,top
"IC3","MXC6655XA","MXC6655XA",104.995000,-75.050000,0.000000,top
"J2","USB4105-GF-A","GCT_USB4105-GF-A",123.270000,-50.700000,180.000000,top
"L1","27nH","L_Murata_LQG_0402",137.910000,-58.340000,0.000000,top
"L2","22nH","L_Murata_LQG_0402",140.310000,-58.340000,0.000000,top
"L3","27nH","L_Murata_LQG_0402",142.710000,-58.340000,0.000000,top
"L4","27nH","L_Murata_LQG_0402",137.840000,-60.460000,180.000000,top
"L5","2.2uH","ASPI0418FS",125.290000,-59.520000,0.000000,top
"LED1","155060VS73200","155060VS73200",108.600000,-80.700000,180.000000,top
"LED2","155060VS73200","155060VS73200",142.050000,-80.700000,180.000000,top
"R1","56k","R_KOA_RK_0402",134.350000,-53.540000,-90.000000,top
"R2","10k","R_Vishay_CRCW_0402",115.080000,-63.000000,0.000000,top
"R3","10k","R_Vishay_CRCW_0402",115.080000,-65.400000,0.000000,top
"R4","5k1","R_Vishay_CRCW_0402",117.280000,-55.610000,-90.000000,top
"R5","5k1","R_Vishay_CRCW_0402",129.040000,-52.000000,90.000000,top
"R6","442k","R_Bourns_CR_0603",121.500000,-68.800000,180.000000,top
"R7","97.6k","R_Bourns_CR_0603",121.500000,-67.200000,0.000000,top
"R8","10k","R_Vishay_CRCW_0402",114.570000,-56.550000,-90.000000,top
"R9","174","R_Vishay_CRCW_0402",140.750000,-78.400000,0.000000,top
"R10","174","R_Vishay_CRCW_0402",108.500000,-78.400000,180.000000,top
"R11","174","R_Vishay_CRCW_0402",110.750000,-77.100000,90.000000,top
"R13","2K7","R_Vishay_CRCW_0402",105.300000,-72.200000,180.000000,top
"R14","2K7","R_Vishay_CRCW_0402",101.900000,-75.350000,-90.000000,top
"S3","2-1977223-8","219772238",118.400000,-75.450000,90.000000,top
"U1","CC1101RGP","CC1101RGP",133.832600,-58.420000,0.000000,top
"VR1","PVG3A103C01R00","PVG3A103C01R00",132.250000,-75.650000,0.000000,top
"Y1","NX3225GA-26MHZ","NX3225GA16000MSTDCRG1",133.700000,-64.660000,0.000000,top
